m/z	I	
758.2431	5634	
758.3868	5351	
758.4410	186	
758.5295	3191	
758.6105	187	
758.6726	2131	
758.7660	1289	
758.8157	1066	
758.9821	494	
759.1007	1093	
759.4350	804	
759.7722	404	
759.9920	136	
760.1091	244	
760.2802	163	
760.3835	123	
760.4460	237	
760.7649	317	
760.8152	101	
761.0186	140	
761.1005	386	
761.3430	238	
761.4340	165	
761.5945	383	
761.7699	120	
761.8440	202	
762.0974	304	
762.7688	861	
762.9459	921	
763.1104	1975	
763.2813	1747	
763.4452	1513	
763.6152	833	
763.7797	557	
763.9466	151	
764.0547	132	
764.1115	229	
764.5990	115	
764.7257	138	
764.7664	285	
764.8514	194	
764.9758	264	
765.1024	618	
765.2280	204	
765.4347	190	
765.7696	133	
765.8439	160	
766.1029	268	
766.3479	162	
766.6011	713	
766.7264	1981	
766.7677	573	
766.8516	2692	
766.9772	2575	
767.1027	3119	
767.2280	1764	
767.3532	1052	
767.4389	278	
767.4746	440	
767.6033	281	
767.7739	106	
768.1053	119	
768.7706	428	
768.8994	107	
768.9387	340	
769.0727	787	
769.1016	887	
769.2728	363	
769.4378	434	
769.6050	401	
769.7321	286	
769.7683	130	
769.8539	247	
769.9813	172	
770.0961	198	
770.2314	119	
770.6001	108	
770.6745	101	
770.7688	583	
770.8257	258	
770.9627	190	
771.0079	135	
771.1287	2101	
771.3310	118	
771.4359	545	
771.6299	1302	
771.7689	433	
771.9383	228	
772.1267	603	
772.6311	236	
772.8188	103	
772.9619	223	
773.1063	422	
773.2497	237	
773.3912	196	
773.4384	142	
773.5342	131	
773.6092	185	
773.6795	121	
773.8624	106	
774.1059	301	
774.2702	152	
774.4372	515	
774.6054	367	
774.7707	290	
774.9335	111	
775.1102	355	
775.5310	159	
775.5928	127	
775.6784	151	
775.9618	152	
776.1019	269	
776.2700	182	
776.4366	363	
776.6085	409	
776.6782	113	
776.7711	392	
777.1126	331	
777.6286	114	
778.1080	167	
778.2316	255	
778.3584	464	
778.4837	324	
778.6094	340	
778.7224	634	
778.8587	168	
778.9184	1095	
779.1172	1066	
779.3202	552	
779.5221	279	
779.7197	157	
780.1335	764	
780.3885	121	
780.4376	465	
780.6352	536	
780.6762	104	
780.7698	260	
781.1196	190	
781.6339	126	
781.7741	123	
781.9237	137	
782.1031	207	
782.3200	1721	
782.5205	2638	
782.7212	2452	
782.9218	1653	
783.1214	691	
783.3228	373	
783.4830	476	
783.5244	130	
783.6105	1115	
783.7334	1954	
783.8589	1989	
783.9844	1442	
784.1106	1421	
784.2349	730	
784.3597	459	
784.4860	185	
784.7675	111	
785.1141	207	
785.3171	150	
785.4224	172	
785.5152	146	
785.6155	770	
785.7574	227	
785.9172	114	
786.1210	485	
786.2571	191	
786.4014	112	
786.4354	110	
786.5382	137	
786.6284	208	
787.1162	128	
787.4219	265	
787.7762	319	
788.1110	457	
788.3128	101	
788.4467	258	
788.6109	104	
788.7797	151	
788.8497	122	
789.1083	247	
789.5402	129	
789.6106	121	
789.7802	163	
790.1117	489	
790.2791	330	
790.4461	428	
790.6128	281	
790.7804	210	
790.9457	173	
791.1168	175	
791.6235	116	
791.9713	124	
792.1119	2459	
792.2557	6301	
792.3086	185	
792.3993	7475	
792.5419	6392	
792.6280	1053	
792.6853	5224	
792.8285	2978	
792.9095	372	
792.9716	1370	
793.1213	1010	
793.2586	258	
793.3103	164	
793.4216	136	
793.6307	310	
794.1271	270	
794.6215	207	
794.7089	181	
794.8277	189	
794.9124	383	
794.9685	232	
795.1147	588	
795.3123	219	
795.5121	101	
795.6196	113	
796.1103	402	
796.2500	351	
796.3116	175	
796.3966	438	
796.5369	442	
796.5999	169	
796.6804	270	
796.7464	106	
796.8234	204	
797.1010	266	
797.5053	193	
797.6276	274	
797.7064	377	
797.9062	318	
798.1158	177	
798.3117	296	
798.5135	219	
798.7142	271	
798.9132	191	
799.1276	105	
799.1366	160	
800.1323	312	
800.5047	106	
800.6344	176	
800.7033	193	
800.7579	155	
800.9061	147	
801.1194	1037	
801.3078	248	
801.3707	1232	
801.4394	163	
801.5084	163	
801.6214	868	
801.7765	178	
801.8726	479	
802.1187	274	
802.3726	100	
802.6063	135	
803.0975	110	
803.2659	110	
803.4349	156	
803.6033	193	
805.1085	2076	
805.6153	1758	
805.8739	1735	
806.1175	1310	
806.2761	185	
806.3755	694	
806.4450	178	
806.6196	541	
806.7691	143	
806.8739	174	
807.1162	171	
807.4463	259	
807.6350	123	
807.7786	211	
808.1162	219	
808.4380	189	
808.6199	122	
808.7705	145	
809.1068	259	
809.4516	239	
809.7855	121	
810.1168	161	
810.8681	131	
