m/z	I	
1254.3901	2447	
1256.3874	2792	
1256.5878	5536	
1256.7864	30914	
1256.9866	67061	
1257.1870	89736	
1257.3874	90673	
1257.5877	73894	
1257.7881	50857	
1257.9882	30269	
1258.1887	17085	
1258.3890	8954	
1258.5899	4477	
1258.7903	2141	
1259.9842	2005	
1260.1840	3520	
1260.3851	4794	
1260.5850	4723	
1260.7854	4127	
1260.9841	3197	
1261.1834	2816	
1261.3821	2395	
1261.5822	2339	
1268.1976	2347	
1268.3968	12283	
1268.5973	25960	
1268.7975	34761	
1268.9981	35110	
1269.1982	28680	
1269.3984	20051	
1269.5990	12517	
1269.7989	7328	
1269.9996	3644	
1272.1944	2189	
1280.0073	3983	
1280.2080	8380	
1280.4083	11993	
1280.6085	11882	
1280.8092	9800	
1281.0092	6743	
1281.2099	4123	
1281.4095	2441	
1291.8183	2349	
1292.0186	3053	
1292.2190	3339	
1292.4194	2635	
1473.2135	3164	
1473.4636	3966	
1473.7139	3678	
1473.9645	3062	
1487.4761	2107	
1487.7259	3783	
1487.9770	5041	
1488.2274	4631	
1488.4773	3556	
1488.7278	2607	
1502.2393	3597	
1502.4899	4508	
1502.7401	4156	
1502.9909	3316	
1503.2405	2285	
1511.9628	2155	
1512.2133	2062	
1516.7523	2324	
1517.0032	2976	
1517.2532	2952	
1517.5039	2284	
1526.4760	2379	
1526.7263	2275	
1533.4685	2014	
1533.7184	2175	
1533.9683	2029	
1538.2150	2084	
1538.4661	2701	
1538.7173	3157	
1538.9678	2971	
1539.2188	2405	
1540.9879	2021	
1541.7170	2240	
1541.9631	4316	
1542.2090	25998	
1542.4591	54603	
1542.7094	70911	
1542.9596	71660	
1543.2101	55584	
1543.4606	37357	
1543.7114	23694	
1543.9631	14014	
1544.2155	7980	
1544.4681	5001	
1544.7214	3434	
1544.9738	2182	
1546.4571	2063	
1546.7071	2745	
1546.9575	2762	
1547.2110	2493	
1547.4668	2133	
1547.7224	2553	
1547.9741	3363	
1548.2247	3814	
1548.4749	3569	
1548.7245	2787	
1548.9763	2014	
1551.9692	2863	
1552.2200	3955	
1552.4711	4037	
1552.7244	5294	
1552.9769	6776	
1553.2280	7353	
1553.4789	6907	
1553.7300	5467	
1553.9801	3884	
1554.2314	2524	
1556.2251	6435	
1556.4744	12215	
1556.7218	71415	
1556.9722	151391	
1557.2226	210811	
1557.4729	202587	
1557.7233	170439	
1557.9737	113005	
1558.2241	67950	
1558.4753	37075	
1558.7272	20698	
1558.9794	12085	
1559.2314	6867	
1559.4833	4054	
1559.7358	2550	
1560.7201	3199	
1560.9698	6040	
1561.2197	7882	
1561.4704	8209	
1561.7217	7391	
1561.9731	5917	
1562.2262	5195	
1562.4774	5750	
1562.7276	5548	
1562.9778	5461	
1563.2287	3739	
1563.4791	2703	
1564.4808	2567	
1564.6043	2275	
1564.7299	2688	
1564.8550	2025	
1564.9804	2313	
1566.2296	2246	
1566.4802	4583	
1566.7311	6546	
1566.9820	6752	
1567.2352	8452	
1567.4877	10649	
1567.7397	11697	
1567.9907	10944	
1568.2417	8776	
1568.4920	6401	
1568.7423	4087	
1568.9929	2595	
1570.4912	2746	
1570.7370	10218	
1570.9868	19257	
1571.2350	108921	
